,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM803882358,used,Distrito Federal,Coyoacán,218900,MXN,Usado,,,,,Delantera,,2360 cc,Dodge,5,,Gasolina,59000 km,Journey,Automática,2.4 Se 7 Pasajeros At,2016,,,,
MLM812342973,used,Puebla,Puebla,299900,MXN,Usado,4624 mm,5,,,4x2,Sí,3.2 L,Jeep,5,3.2,Gasolina,44000 km,Cherokee,Manual,3.2 Trailhawk Mt,2014,,,,
MLM809556332,used,Puebla,Puebla,245000,MXN,Usado,4315 mm,5,133 hp,,Delantera,Sí,1998 cc,Renault,5,2.0,Gasolina,19000 km,Oroch,Automática,2.0 16v Zen,2019,,,,
MLM802428835,used,Puebla,Puebla,149900,MXN,Usado,,,,,Trasera,,3.7 L,Volkswagen,5,,Gasolina,69000 km,Routan,Automática,3.7 Prestige Tiptronic Paq Joybox At,2009,,,,
MLM810044338,used,Puebla,Puebla,135000,MXN,Usado,,2,,,4x4,Sí,4.3 L,Chevrolet,2,4.3,Gasolina,92000 km,Silverado,Automática,Pickup Silverado 2500 Custom Aa At,1999,,,,
MLM799250436,used,Distrito Federal,Benito Juárez,249000,MXN,Usado,4624 mm,5,,,4x2,Sí,2.4 L,Jeep,5,2.4,Gasolina,43000 km,Cherokee,Manual,2.4 Limited Mt,2015,,,,
MLM811461580,used,Puebla,Puebla,109900,MXN,Usado,,,,,Delantera,Sí,1.6 L,Mini,2,1.6,Gasolina,84000 km,Cooper,Manual,1.6 Chili 5vel Aa Tela/piel Qc Mt,2004,,,,
MLM803018978,used,Distrito Federal,Tlalpan,199900,MXN,Usado,,,,,Delantera,,1497 cc,Honda,4,,Gasolina,47000 km,City,Automática,1.5 Ex At Cvt,2017,,,,
MLM797347565,used,Distrito Federal,Coyoacán,372900,MXN,Usado,5044 mm,4,363 hp,,Trasera,Sí,5700 cc,Chrysler,4,5.7,Gasolina,33000 km,300C,Automática,5.7 C Hemi At,2016,,,,
MLM789294022,used,Hidalgo,Pachuca De Soto,480000,MXN,Usado,4701 mm,5,180 hp,,4x4,Sí,1984 cc,Volkswagen,5,2.0,Gasolina,35000 km,Tiguan,Automática,2.0 Highline At,2018,,,,
