,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM788089800,used,Distrito Federal,Coyoacán,249000,MXN,Usado,,,,Sí,Trasera,,,Volkswagen,2,4.,Gasolina,50000 km,VOLKSWAGEN SEDAN CONVERTIBLE 1984,Manual,VOLKSWAGEN SEDAN CONVERTIBLE 1984,1995,,,,
MLM811843263,used,Distrito Federal,Coyoacán,529900,MXN,Usado,5690 mm,5,355 hp,,Trasera,Sí,5328 cc,Chevrolet,5,5.4,Gasolina,56000 km,Suburban,Automática,5.4 Lt Piel Cubo At,2016,,,,
MLM807758115,used,Distrito Federal,Benito Juárez,169000,MXN,Usado,4360 mm,2,,,Trasera,Sí,3 L,BMW,2,3.0,Gasolina,67000 km,Serie 1,Automática,3.0 Coupe 125ia At,2009,,,,
MLM801600463,used,Distrito Federal,Tlalpan,249800,MXN,Usado,4453 mm,5,118 hp,,Delantera,Sí,1498 cc,Honda,5,1.5,Gasolina,26000 km,BR-V,Automática,1.5 Uniq Cvt,2018,,,,
MLM804338818,used,Distrito Federal,Coyoacán,989000,MXN,Usado,,5,,Sí,4x4,Sí,4 L,Toyota,5,4.0,Gasolina,8000 km,Land Cruiser,Manual,Wagon Vx Bl 4wd Mt,2013,,,,
MLM809112205,used,Distrito Federal,Benito Juárez,145000,MXN,Usado,4203 mm,5,150 hp,,Delantera,Sí,2 L,Audi,5,2.0,Gasolina,72000 km,A3,Automática,2.0 S-line Dsg,2009,,,,
MLM804487022,used,Distrito Federal,Tlalpan,298900,MXN,Usado,,,,,Delantera,,1.8 L,Alfa Romeo,5,,Gasolina,75000 km,Giulietta,Manual,1.8 Quadrifoglio Verde Ddct Mt,2015,,,,
MLM795926000,used,Distrito Federal,Benito Juárez,179000,MXN,Usado,,,,,Delantera,,1598 cc,Volkswagen,5,,Gasolina,27108 km,Polo,Manual,1.6 L4 Sound Mt,2019,,,,
MLM804229939,used,Distrito Federal,Coyoacán,489000,MXN,Usado,,5,,Sí,4x4,Sí,5.7 L,Jeep,5,5.7,Gasolina,40000 km,Grand Cherokee,Manual,5.7 Limited Premium V8 4x4 Mt,2010,,,,
MLM804292312,used,Distrito Federal,Coyoacán,1100000,MXN,Usado,,,,,,,,Ford,2,,Gasolina,5000 km,MUSTANG CONVERTIBLE,Automática,289 CONVERTIBLE,1966,,,,
MLM787147422,used,Distrito Federal,Benito Juárez,1000000,MXN,Usado,,,,,Trasera,,2979 cc,BMW,2,,Gasolina,18000 km,Serie M,Automática,3.0 M4 Coupe At,2018,,,,
MLM811416217,used,Distrito Federal,Benito Juárez,129000,MXN,Usado,4397 mm,5,,,Delantera,Sí,1.6 L,Chevrolet,5,1.6,Gasolina,58000 km,Sonic,Automática,1.6 Ltz At,2014,,,4,
MLM786155564,used,Distrito Federal,Benito Juárez,955000,MXN,Usado,,,,,4x4,,5.3 L,Chevrolet,5,,Gasolina,53000 km,Tahoe,Automática,5.3 Ltz V8 4x4 At,2015,,,,
MLM786151357,used,Distrito Federal,Benito Juárez,655000,MXN,Usado,,,,,,,,Audi,2,,Gasolina,22000 km,Serie RS,,RS5 Coupe,2011,,,,
MLM812843746,used,Distrito Federal,Coyoacán,329900,MXN,Usado,4388 mm,5,150 hp,,4x4,Sí,1.4 L,Audi,5,1.4,Gasolina,45000 km,Q3,Automática,1.4 S Line 150 Hp At,2016,,,4,
MLM812841415,used,Distrito Federal,Coyoacán,169900,MXN,Usado,4636 mm,5,129 hp,,Delantera,Sí,1798 cc,Nissan,4,1.8,Gasolina,72000 km,Sentra,Automática,1.8 Advance Cvt,2016,,,,
MLM804150335,used,Distrito Federal,Coyoacán,198000,MXN,Usado,,,,,,,,Volkswagen,2,1600,Gasolina,50000 km,SEDAN 1968,Manual,Sedan,1968,,,,
MLM812843853,used,Distrito Federal,Coyoacán,149900,MXN,Usado,4581 mm,5,,No,Delantera,Sí,3.5 L,Mercedes-Benz,4,3.5,Gasolina,77000 km,Clase C,Automática,3.5 350 Cgi Sport At,2009,,,,
MLM812281493,used,Distrito Federal,Tlalpan,229900,MXN,Usado,4385 mm,5,211 hp,,4x4,Sí,2 L,Audi,5,2.0,Gasolina,73000 km,Q3,Automática,2.0 Luxury 211hp At,2013,,,,
MLM808778622,used,Distrito Federal,Tlalpan,124900,MXN,Usado,,,,,,,,Volkswagen,2,,Gasolina,99000 km,1.6 Sedan,,Sedan,1990,,,,
MLM803018913,used,Distrito Federal,Tlalpan,238900,MXN,Usado,,,,,Delantera,,1999 cc,Ford,5,,Gasolina,47000 km,Focus,Manual,2.0 Se Hatchback Mt,2017,,,,
MLM803018991,used,Distrito Federal,Tlalpan,239900,MXN,Usado,,,,,4x4,,3.6 L,Dodge,5,,Gasolina,79000 km,Journey,Manual,3.6 R-t Nav Dvd Mt,2015,,,,
MLM805232235,used,Distrito Federal,Coyoacán,189000,MXN,Usado,,5,,,4x4,Sí,4 L,Toyota,5,4.0,Gasolina,80000 km,4Runner,Automática,Limited Aa Ee Ba Abs Piel Qc At,2004,,,,
MLM806838988,used,Distrito Federal,Tlalpan,384900,MXN,Usado,,,,,4x2,,1.5 L,Mitsubishi,5,,Gasolina,13000 km,Eclipse Cross,Automática,1.5l Gls,2019,,,,
MLM803012940,used,Morelos,Cuernavaca,149900,MXN,Usado,4322 mm,4,113 hp,,Delantera,Sí,1499 cc,Baic,4,1.5,Gasolina,59000 km,D20,Manual,1.5 Sedán Fashion Mt,2018,,,,
MLM786155556,used,Distrito Federal,Benito Juárez,1450000,MXN,Usado,,,,,4x4,,6700 cc,Ford,4,,Diésel,40000 km,F-250,Automática,6.7l Super Duty Cab Dob Diesel 4x4 At,2016,,,,
MLM806772761,used,Distrito Federal,Venustiano Carranza,595000,MXN,Usado,,,,,4x4,,5.6 L,Infiniti,5,,Gasolina,48500 km,QX80,Manual,5.6l 56 8 Pasajeros Mt,2015,,,,
MLM804243128,used,Distrito Federal,Coyoacán,989000,MXN,Usado,5221 mm,2,355 hp,,4x4,Sí,5328 cc,Chevrolet,2,5.4,Gasolina,25000 km,Cheyenne,Automática,5.4 2500 Cab Reg Lt Z71 4x4 At,2018,,,,
MLM804150460,used,Distrito Federal,Coyoacán,1189000,MXN,Usado,5392 mm,,278 hp,,4x4,Sí,3456 cc,Toyota,4,3.5,Gasolina,40000 km,Tacoma,Automática,3.5 Trd Sport 4x4 At,2017,,,,
MLM802104699,used,Distrito Federal,Venustiano Carranza,151500,MXN,Usado,,,,,Delantera,,1598 cc,Dodge,4,,Gasolina,21000 km,Vision,Manual,1.6 Mt,2018,,,,
MLM805292399,used,Distrito Federal,Iztacalco,259000,MXN,Usado,,,,,,,,Mini,2,,Gasolina,64000 km,Cooper Roadster,,Jhon Cooper Works,2012,,,,
MLM786151361,used,Distrito Federal,Benito Juárez,495000,MXN,Usado,,,,,4x4,,5.3 L,Chevrolet,5,,Gasolina,54000 km,Suburban,Manual,5.3 Lt Piel Plus 4x4 Mt,2013,,,,
MLM787127588,used,Distrito Federal,Benito Juárez,1150000,MXN,Usado,,,,,4x4,,5654 cc,Jeep,5,,Gasolina,29000 km,Grand Cherokee,Automática,5.7 Blindada 4x4 At,2017,,,,
MLM790081044,new,Nuevo León,Monterrey,255300,MXN,Nuevo,,,,,,Sí,,Chevrolet,4,Turbo 3 Cilindros 1.0,Gasolina,0 km,Onix,Manual,LS TM,2021,,,,
MLM787121193,used,Distrito Federal,Benito Juárez,655000,MXN,Usado,,,,,4x4,,6.2 L,Cadillac,5,,Gasolina,59000 km,Escalade ESV,Automática,6.2 Paq S Special Edition At,2012,,,,
MLM797728993,used,Distrito Federal,Tlalpan,137500,MXN,Usado,,,,,Delantera,,1368 cc,Fiat,5,,Gasolina,42000 km,Uno,Manual,1.4 Sporting Mt,2016,,,,
MLM797965111,used,Distrito Federal,Tlalpan,264500,MXN,Usado,,,,,Delantera,,1999 cc,Hyundai,4,,Gasolina,13500 km,Elantra,Automática,2.0 Gls Premium At,2019,,,,
MLM811976724,used,Distrito Federal,Coyoacán,219900,MXN,Usado,4247 mm,5,140 hp,,Delantera,Sí,1796 cc,Chevrolet,5,1.8,Gasolina,46000 km,Trax,Automática,1.8 Premier At,2016,,,,
MLM806925492,used,Distrito Federal,Benito Juárez,255000,MXN,Usado,,,,,,,900 cc,Polaris,,,Eléctrico,6000 km,Rzr 900,,,2015,,Cuatrimotos,,
MLM786151378,used,Distrito Federal,Benito Juárez,1650000,MXN,Usado,,,,,4x4,,4.4 L,BMW,5,,Gasolina,40000 km,X6 M,Automática,4.4 X6 M . At,2016,,,,
MLM806286408,used,Distrito Federal,Coyoacán,1399900,MXN,Usado,,,,,4x4,,4395 cc,BMW,5,,Gasolina,17000 km,Serie M,Automática,4.4 X6 M At,2019,,,,
MLM810035471,used,Distrito Federal,Benito Juárez,169000,MXN,Usado,,5,,,4x2,Sí,2 L,Jeep,5,2.0,Gasolina,78000 km,Patriot,Automática,Limited Qc 4x2 Cvt,2012,,,,
MLM812901431,used,Distrito Federal,Cuajimalpa De Morelos,235118,MXN,Usado,4295 mm,5,118 hp,,Delantera,Sí,1598 cc,Nissan,5,1.6,Gasolina,70112 km,Kicks,Automática,1.6 Exclusive At Cvt,2017,,,,
MLM803292605,used,Distrito Federal,Coyoacán,579900,USD,Usado,,,,,4x4,,4.8 L,BMW,5,,Gasolina,41000 km,X5 M,Automática,X5 M 555 Hp At,2013,,,,
MLM786151369,used,Distrito Federal,Benito Juárez,1700000,MXN,Usado,,,,,4x2,,3496 cc,Ford,5,,Gasolina,1000 km,Expedition,Automática,3.5 Limited Max 4x2 At,2018,,,,
MLM786151363,used,Distrito Federal,Benito Juárez,1150000,MXN,Usado,,,,,Delantera,,1390 cc,Volkswagen,5,,Gasolina,13000 km,Tiguan,Automática,1.4 Comfortline Plus At,2018,,,,
MLM812841420,used,Distrito Federal,Coyoacán,228900,MXN,Usado,4888 mm,5,,,Delantera,Sí,2.4 L,Dodge,5,2.4,Gasolina,53000 km,Journey,Manual,2.4 Sxt 7 Pasajeros Plus Mt,2015,,,,
MLM810629178,used,Distrito Federal,Cuajimalpa De Morelos,168248,MXN,Usado,4868 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,4,2.5,Gasolina,58070 km,Passat,Automática,2.5 Confortline R 17 At,2014,,,,
MLM784319136,used,Estado De México,Atlacomulco,653020,MXN,Usado,,,,,4x4,,6162 cc,GMC,2,,Gasolina,65242 km,Sierra,Automática,6.2 Denali Dvd At,2017,,,,
MLM804297018,used,Distrito Federal,Coyoacán,439000,MXN,Usado,,5,,Sí,4x2,Sí,3.6 L,Jeep,5,3.6,Gasolina,50000 km,Grand Cherokee,Automática,Limited V6 4x2 At,2011,,,,
MLM807308106,used,Distrito Federal,Benito Juárez,1100000,MXN,Usado,5089 mm,5,340 hp,,4x4,Sí,2995 cc,Audi,5,3.0,Gasolina,10863 km,Q8,Automática,3.0 55 Tfsi Quattro,2019,,,,
MLM793656312,used,Estado De México,Atlacomulco,867040,MXN,Usado,,,,,6x2,,,Freightliner,,,,309893 km,M2,Manual,,2017,,,,
MLM788137938,used,Distrito Federal,Coyoacán,989000,MXN,Usado,5843 mm,4,420 hp,Sí,4x4,Sí,6162 cc,Chevrolet,4,6.2,Gasolina,50000 km,Cheyenne,Automática,6.2 2500 Doble Cab High Country 4x4 At,2016,,,,
MLM791544702,used,Estado De México,Huixquilucan,283000,MXN,Usado,,,,,Trasera,,2488 cc,Ford,4,,Gasolina,24000 km,Ranger,Manual,2.5 Xl Cabina Doble Mt,2017,,,,
MLM804321931,used,Distrito Federal,Coyoacán,989000,MXN,Usado,5110 mm,5,360 hp,Sí,Trasera,Sí,5654 cc,Dodge,5,5.7,Gasolina,40000 km,Durango,Automática,5.7 V8 R/t At,2017,,,,
MLM800167919,used,Distrito Federal,Iztacalco,205000,MXN,Usado,,,,,Delantera,,1598 cc,Volkswagen,2,,Gasolina,36000 km,Saveiro,Manual,1.6 Highline Mt,2018,,,,
MLM803018974,used,Distrito Federal,Tlalpan,498900,MXN,Usado,,,,,4x4,,1984 cc,Audi,4,,Gasolina,41000 km,A4,Automática,2.0 T S Line Quattro 252hp Dsg,2017,,,,
MLM808098264,used,Distrito Federal,Coyoacán,269000,MXN,Usado,,,,Sí,,,1700 cc,Harley-Davidson,,,Gasolina,4000 km,ROAD GLIDE ULTRA,,,2011,HARLEY DAVIDSON,Chopper,,
MLM804660638,used,Distrito Federal,Iztacalco,239000,MXN,Usado,,,,,Delantera,,1.4 L,Audi,5,,Gasolina,70000 km,A3,Automática,1.4 Ambiente At,2016,,,,
MLM803820085,used,Estado De México,Atlacomulco,783000,MXN,Usado,,,,,4x2,,3496 cc,Ford,5,,Gasolina,14792 km,Expedition,Automática,3.5 Limited Max 4x2 At,2018,,,,
MLM787158496,used,Distrito Federal,Benito Juárez,355000,MXN,Usado,,,,,4x2,,5.6 L,Nissan,5,,Gasolina,58000 km,Armada,Automática,5.6 Se Piel Qc 4x2 At,2009,,,,
MLM812843863,used,Distrito Federal,Coyoacán,289900,MXN,Usado,4695 mm,5,165 hp,,Delantera,Sí,2360 cc,Mitsubishi,5,2.4,Gasolina,49000 km,Outlander,Automática,2.4 Limited Cvt,2016,,,,
MLM812841399,used,Distrito Federal,Coyoacán,169900,MXN,Usado,4068 mm,5,105 hp,,Delantera,Sí,1598 cc,Renault,5,1.6,Gasolina,26000 km,Stepway,Manual,1.6 Zen Mt,2018,,,,
MLM812843826,used,Distrito Federal,Coyoacán,269900,MXN,Usado,4404 mm,5,172 hp,,4x2,Sí,2360 cc,Jeep,5,2.4,Gasolina,45000 km,Compass,Automática,2.4 Limited 4x2 At,2016,,,,
MLM786155562,used,Distrito Federal,Benito Juárez,1700000,MXN,Usado,,,,,4x4,,5552 cc,Infiniti,5,,Gasolina,8000 km,QX80,Automática,5.6l Perfection 7 Pasajeros At,2018,,,,
MLM803798730,used,Estado De México,Atlacomulco,196040,MXN,Usado,,,,,Trasera,,1495 cc,Toyota,4,,Gasolina,32100 km,Avanza,Automática,1.5 Le At,2019,,,,
MLM784322328,used,Estado De México,Atlacomulco,653000,MXN,Usado,,,,,4x4,,6162 cc,GMC,2,,Gasolina,65242 km,Sierra,Automática,6.2 Denali Dvd At,2017,,,,
MLM803034083,used,Distrito Federal,Coyoacán,714900,MXN,Usado,,,,,4x4,,1991 cc,Mercedes-Benz,4,,Gasolina,24000 km,Clase CLA,Automática,2.0 45 Amg At,2017,,,,
MLM804172823,used,Distrito Federal,Coyoacán,249900,MXN,Usado,,,,,Delantera,,1999 cc,Kia,5,,Gasolina,38000 km,Sportage,Automática,2.0 Ex L At,2016,,,,
MLM787009336,used,Estado De México,Atlacomulco,985040,MXN,Usado,,,,,4x2,,,Volkswagen,,,,50502 km,Contellation,Manual,,2018,,,,
MLM812040503,used,Distrito Federal,Benito Juárez,135000,MXN,Usado,,,,,Delantera,Sí,2 L,Mazda,4,2.0,Gasolina,66000 km,Mazda 3,Automática,2.0 I Touring At,2013,,,,
MLM809957250,used,Distrito Federal,Benito Juárez,229000,MXN,Usado,4404 mm,5,,,4x2,Sí,2.4 L,Jeep,5,2.4,Gasolina,48000 km,Compass,Automática,2.4 Limited 4x2 At,2015,,,,
MLM788975432,used,Distrito Federal,Benito Juárez,1200000,MXN,Usado,,,,,4x4,,4395 cc,BMW,5,,Gasolina,46000 km,X5,Automática,4.4 Xdrive50ia M Sport At,2016,,,,
MLM787136037,used,Distrito Federal,Benito Juárez,1350000,MXN,Usado,,,,,4x4,,5.3 L,Chevrolet,5,,Gasolina,40000 km,Suburban,Automática,5.3 Ltz V8 4wd 2da Cubo At,2015,,,,
MLM795058378,used,Distrito Federal,Benito Juárez,450000,MXN,Usado,,,,,4x4,,2489 cc,Nissan,2,,Diésel,33672 km,NP300 Frontier,Automática,2.5 Le Diesel Aa 4x4 At,2018,,,,
MLM784319261,used,Estado De México,Atlacomulco,653050,MXN,Usado,,,,,4x4,,6162 cc,GMC,2,,Gasolina,65242 km,Sierra,Automática,6.2 Denali Dvd At,2017,,,,
MLM794101429,used,Distrito Federal,Benito Juárez,1100000,MXN,Usado,,,,,4x4,,3 L,Land Rover,5,,Gasolina,38000 km,Discovery,Manual,3.0 Hse Mt,2016,,,,
MLM799298653,used,Distrito Federal,Cuajimalpa De Morelos,420000,MXN,Usado,4690 mm,5,170 hp,Sí,4x4,Sí,2488 cc,Nissan,5,2.5,Gasolina,24844 km,X-Trail,Automática,2.5 Exclusive 3 Row Cvt,2019,,,,
MLM795055725,used,Distrito Federal,Benito Juárez,330000,MXN,Usado,,,,,Trasera,,2489 cc,Nissan,2,,Gasolina,44961 km,NP300 Frontier,Manual,2.5 Le Aa Mt,2018,,,,
MLM790082935,new,Nuevo León,Monterrey,235400,MXN,Nuevo,4338 mm,4,103 hp,,Delantera,Sí,1598 cc,Chevrolet,4,1.6,Gasolina,0 km,Aveo,Manual,1.6 Ls Mt,2020,,,,
MLM813581375,used,Distrito Federal,Benito Juárez,145000,MXN,Usado,4492 mm,5,106 hp,,Delantera,Sí,1598 cc,Nissan,4,1.6,Gasolina,46000 km,Versa,Manual,1.6 Advance Mt,2016,,,,
MLM813005581,used,Distrito Federal,Benito Juárez,125000,MXN,Usado,4492 mm,5,,,Delantera,Sí,1.6 L,Nissan,4,1.6,Gasolina,54000 km,Versa,Manual,1.6 Sense Mt,2015,,,,
MLM807376271,used,Distrito Federal,Tlalpan,224800,MXN,Usado,,,,,Delantera,,3.5 L,Toyota,5,,Gasolina,57000 km,Sienna,Automática,Le Aa Ee At,2013,,,,
MLM812841390,used,Distrito Federal,Coyoacán,127900,MXN,Usado,3897 mm,5,101 hp,,Delantera,Sí,1598 cc,Volkswagen,5,1.6,Gasolina,39000 km,Gol,Manual,1.6 Trendline Mt 5 p,2017,,,,
MLM795056608,used,Distrito Federal,Benito Juárez,585000,MXN,Usado,,,,,,,,Audi,4,,Gasolina,11992 km,A3 Sedan,Automática,S Line 40 Tfsi 190 Hp S Tronic,2020,,,,
MLM795926010,new,Distrito Federal,Cuauhtémoc,58000,MXN,Nuevo,,,,,,,250 cc,Italika,,,,0 km,250 ATV,,,2019,Italika,Cuatrimoto,,
MLM802954897,used,Estado De México,Atlacomulco,220000,MXN,Usado,,,,,4x2,,3.6 L,RAM,2,,Gasolina,129000 km,Ram,Automática,3.6 Slt 1500 Trabajo 4x2,2015,,,,
MLM795926003,used,Distrito Federal,Iztacalco,198000,MXN,Usado,,,,,Delantera,,1.5 L,Chevrolet,4,,Gasolina,18162 km,Cavalier,Automática,1.5 Lt At,2019,,,,
MLM811283296,used,Estado De México,Atlacomulco,547010,MXN,Usado,,,450 W,Sí,6x4,Sí,,Freightliner,,,,1000 km,tractocamion cascadia,Manual,,2011,DETROIT SERIE 60,,,42000 kg
MLM784311157,used,Estado De México,Atlacomulco,975030,MXN,Usado,,,,,4x2,,,Volkswagen,,,,50502 km,Contellation,Manual,,2018,,,,
MLM795922436,used,Distrito Federal,Iztacalco,295000,MXN,Usado,,,,,Delantera,,1390 cc,Volkswagen,5,,Gasolina,40000 km,Golf,Automática,1.4 Highline Dsg At,2018,,,,
MLM795043126,used,Distrito Federal,Benito Juárez,440000,MXN,Usado,,,,,,,,Audi,4,,Gasolina,44741 km,A5,Automática,Sportback S Line 2.0 Tfsi 225 Hp S Tronic Quattro,2016,,,,
MLM803937631,used,Distrito Federal,Benito Juárez,125000,MXN,Usado,4278 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,2,2.5,Gasolina,76000 km,Beetle,Manual,2.5 Sport Mt,2010,,,,
MLM808941780,used,Estado De México,Atlacomulco,263000,MXN,Usado,4871 mm,4,7.6 hp,No,Delantera,Sí,1999 cc,Ford,4,2.0,Gasolina,18000 km,Fusion,Automática,2.0 Se Lux Híbrido Cvt,2017,,,,
MLM795056639,used,Distrito Federal,Benito Juárez,325000,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,1749 km,T-Cross,Automática,Trendline Version de Lanzamiento 1.6 L 116 Hp Tiptronic,2020,,,,
MLM812807171,used,Distrito Federal,Iztacalco,279900,MXN,Usado,4922 mm,4,260 hp,,Delantera,Sí,1998 cc,Chevrolet,4,2.0,Gasolina,34000 km,Malibu,Automática,2.0 Premier Turbo At,2017,,,,
MLM812846753,used,Distrito Federal,Coyoacán,114900,MXN,Usado,,4,,,Delantera,Sí,1.6 L,Ford,4,1.6,Gasolina,63000 km,Fiesta,Automática,1.6 S At,2014,,,,
MLM787154518,used,Distrito Federal,Benito Juárez,955000,MXN,Usado,,,,,4x4,,5.3 L,Chevrolet,5,,Gasolina,45000 km,Suburban,Automática,5.3 Lt V8 Piel 2da Cubo At,2015,,,,
MLM807282187,used,Distrito Federal,Iztacalco,265000,MXN,Usado,,,,,Trasera,,6.2 L,Chevrolet,2,,Gasolina,56000 km,Camaro,Automática,Ss V8 At,2012,,,,
MLM791544536,used,Estado De México,Huixquilucan,136000,MXN,Usado,,,,,Delantera,,1206 cc,Chevrolet,4,,Gasolina,14000 km,Beat,Manual,1.3 Nb Lt Mt,2018,,,,
MLM804214950,used,Distrito Federal,Coyoacán,299900,MXN,Usado,,,,,Delantera,,2488 cc,Nissan,5,,Gasolina,18000 km,X-Trail,Automática,2.5 Sense 2 Row Cvt,2018,,,,
MLM802958779,used,Estado De México,Atlacomulco,220010,MXN,Usado,,,,,4x2,,3.6 L,RAM,2,,Gasolina,129000 km,Ram,Automática,3.6 Slt 1500 Trabajo 4x2,2015,,,,
MLM795052949,used,Distrito Federal,Benito Juárez,1470000,MXN,Usado,,,,,,Sí,,Audi,4,,Eléctrico,2438 km,E-tron,Automática,e-tron,2020,,,,
MLM807903719,used,Distrito Federal,Cuauhtémoc,31500,MXN,Usado,,,,,,,,Ford,2,,Gasolina,123000 km,Ka,,1.6 2 pts Mt,2005,,,,
MLM805083799,used,Distrito Federal,Coyoacán,789000,MXN,Usado,,4,,Sí,4x4,Sí,4.3 L,Chevrolet,4,4.3,Gasolina,30000 km,Silverado,Manual,F Pickup 2500 Crew Cab 4x4 Mt,2012,,,,
MLM804305972,used,Distrito Federal,Coyoacán,279000,MXN,Usado,,4,335 hp,Sí,4x4,Sí,4.2 L,Audi,4,4.2,Gasolina,60000 km,A6,Automática,4.2 Security 335 Hp Tipt Quattro At,2007,,,,
MLM804285492,used,Distrito Federal,Coyoacán,1089000,MXN,Usado,5816 mm,,305 hp,Sí,4x4,Sí,3561 cc,RAM,4,3.6,Gasolina,15000 km,Ram 1500,Automática,3.6 Bighorn 1500 4x4 At,2018,,,,
MLM804248239,used,Distrito Federal,Coyoacán,989000,MXN,Usado,5254 mm,5,180 hp,Sí,4x4,Sí,1968 cc,Volkswagen,4,2.0,Diésel,50000 km,Amarok,Automática,2.0 Highline 4motion At,2016,,,,
MLM787157688,used,Estado De México,Huixquilucan,394000,MXN,Usado,,,,,Delantera,,1395 cc,Audi,4,,Gasolina,24000 km,A3,Automática,1.4 Sedán Select At Dsg,2018,,,,
MLM787126518,used,Distrito Federal,Benito Juárez,1150000,MXN,Usado,,,,,4x4,,3597 cc,Volkswagen,5,,Gasolina,32000 km,Touareg,Automática,3.6 V6 Fsi At,2017,,,,
MLM807721249,used,Distrito Federal,Coyoacán,889000,MXN,Usado,5392 mm,,278 hp,Sí,Trasera,Sí,3456 cc,Toyota,4,3.5,Gasolina,40000 km,Tacoma,Automática,3.5 Trd Sport At,2016,,,,
MLM803817556,used,Estado De México,Atlacomulco,783010,MXN,Usado,,,,,4x2,,3496 cc,Ford,5,,Gasolina,14792 km,Expedition,Automática,3.5 Limited Max 4x2 At,2018,,,,
MLM786148253,used,Distrito Federal,Benito Juárez,695000,MXN,Usado,,,,,Delantera,,3.5 L,Toyota,5,,Gasolina,41000 km,Sienna,Automática,3.5 Limited V6/ At,2014,,,,
MLM795926007,used,Distrito Federal,Iztacalco,174000,MXN,Usado,,,,,Delantera,,1798 cc,Nissan,4,,Gasolina,48000 km,Sentra,Manual,1.8 Sense Mt,2017,,,,
MLM795058391,used,Distrito Federal,Benito Juárez,245000,MXN,Usado,4295 mm,5,118 hp,,Delantera,Sí,1598 cc,Nissan,5,1.6,Gasolina,33340 km,Kicks,Automática,1.6 Exclusive At Cvt,2017,,,,
MLM791514342,used,Estado De México,Huixquilucan,195000,MXN,Usado,,,,,Delantera,,1.2 L,Volkswagen,2,,Gasolina,45000 km,Caddy,Manual,1.2 Cargo Aa Mt,2016,,,,
MLM804306321,used,Distrito Federal,Coyoacán,289000,MXN,Usado,,,,Sí,Trasera,Sí,,Mercedes-Benz,4,V8,Gasolina,80000 km,Clase E,Automática,E500 BLINDADO,2009,,,,
MLM802601359,used,Distrito Federal,Iztacalco,315000,MXN,Usado,,,,,Delantera,,1364 cc,Buick,5,,Gasolina,36000 km,Encore,Automática,1.4 Cxl Premium At,2019,,,,
MLM803796747,used,Estado De México,Atlacomulco,196010,MXN,Usado,,,,,Trasera,,1495 cc,Toyota,4,,Gasolina,32100 km,Avanza,Automática,1.5 Le At,2019,,,,
MLM795059547,used,Distrito Federal,Benito Juárez,315000,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,3664 km,Jetta,Automática,Comfortline 1.4 Tsi 150 Hp Tiptronic,2019,,,,
MLM808240805,used,Distrito Federal,Benito Juárez,860000,MXN,Usado,4692 mm,5,360 hp,No,4x4,Sí,2997 cc,Porsche,4,3.0,Gasolina,22500 km,Macan,Automática,GTS 3.0 Lts 360 Hp PDK,2017,,,,
MLM797347519,used,Estado De México,Huixquilucan,178000,MXN,Usado,,,,,,,,Chevrolet,2,,Gasolina,42000 km,Tornado,,LT SPORT MAX EQUIPO,2016,,,,
MLM812843750,used,Distrito Federal,Coyoacán,237900,MXN,Usado,,5,210 hp,,4x2,Sí,4 L,Ford,5,4.0,Gasolina,69000 km,Explorer,Manual,4.0 Xlt V6 Tela Base 4x2 Mt,2014,,,,
MLM793488421,used,Estado De México,Huixquilucan,239000,MXN,Usado,,,,,Delantera,,1591 cc,Kia,4,,Gasolina,32000 km,Rio,Manual,1.6 Ex Sedan Mt,2019,,,,
MLM802955032,used,Estado De México,Atlacomulco,220020,MXN,Usado,,,,,4x2,,3.6 L,RAM,2,,Gasolina,129000 km,Ram,Automática,3.6 Slt 1500 Trabajo 4x2,2015,,,,
MLM811367261,used,Distrito Federal,Tlalpan,219800,MXN,Usado,,,,Sí,Delantera,Sí,,Chevrolet,4,4.,Gasolina,4100 km,Onix,Manual,LS Manual,2021,,,,
MLM797544804,used,Distrito Federal,Tlalpan,164900,MXN,Usado,,,,,Delantera,,1248 cc,Hyundai,5,,Gasolina,12000 km,Grand i10,Manual,1.3 Gl Mid Mt,2019,,,,
MLM795059562,used,Distrito Federal,Benito Juárez,500000,MXN,Usado,,,,,,,,Audi,4,,Gasolina,9906 km,Q2,Automática,S Line 35 Tfsi 150 Hp S Tronic,2019,,,,
MLM795052935,used,Distrito Federal,Benito Juárez,470000,MXN,Usado,,,,,,,,Audi,4,,Gasolina,16168 km,A3 Sedan,Automática,Select 40 Tfsi 190 Hp S Tronic,2019,,,,
MLM791520955,used,Estado De México,Huixquilucan,285000,MXN,Usado,,,,,Delantera,,1797 cc,Toyota,5,,Gasolina,36000 km,Prius,Automática,1.8 Premium Cvt,2017,,,,
