,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM805532159,used,Estado De México,Tlalnepantla de Baz,Usado,,,,nan,No,,Toyota,5.0,nan,Gasolina,76902.0,Sienna,nan,SUV  5P LE V6/3.5 AUT,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,379999.0
MLM795415844,used,Distrito Federal,Cuajimalpa De Morelos,Usado,,,,Delantera,nan,,Audi,4.0,nan,Gasolina,7955.0,A3,Automática,1.4 Sedán Select At Dsg,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,448900.0
MLM807035775,used,Nuevo León,Allende,Usado,,,,4x2,nan,4951.0,Ford,2.0,nan,Gasolina,23000.0,Lobo,Automática,5.0l Cabina Regular Xlt V8 4x2 At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,395000.0
MLM801225121,used,Jalisco,Tlaquepaque,Usado,,,,nan,nan,250.0,Suzuki,nan,nan,nan,8900.0,gsxr 250,nan,nan,2018.0,nan,nan,Suzuki,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,67000.0
MLM799304099,used,Distrito Federal,Iztapalapa,Usado,,,,Delantera,nan,1591.0,Kia,5.0,nan,Gasolina,50000.0,Rio,Manual,1.6 Ex Hatchback Mt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,165000.0
MLM793140585,used,Estado De México,Ecatepec de Morelos,Usado,,,,Delantera,nan,2500.0,Volkswagen,4.0,nan,Gasolina,86000.0,Jetta,Manual,2.5 Style 5vel Mt,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,132000.0
MLM790815014,used,Aguascalientes,Aguascalientes,Usado,,,,Trasera,nan,1991.0,Mercedes-Benz,2.0,nan,Gasolina,24000.0,Clase SLC,Automática,2.0 200 At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,545000.0
MLM796559199,used,Distrito Federal,Benito Juárez,Usado,,,,Delantera,nan,1399.0,Chevrolet,5.0,nan,Gasolina,32000.0,Spark,Manual,1.4 Lt Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,119900.0
MLM806656597,used,Nuevo León,Monterrey,Usado,,,,Delantera,nan,1364.0,Buick,5.0,nan,Gasolina,63352.0,Encore,Automática,1.4 Cxl Premium At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,269900.0
MLM806373145,used,Guanajuato,León,Usado,,,,nan,nan,,Nissan,4.0,nan,Gasolina,23700.0,Frontier,Manual,PLATINUM,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,390000.0
MLM793668371,used,Guanajuato,León,Usado,,,,nan,nan,1000.0,Kawasaki,nan,4 tiempos,Gasolina,8000.0,Ninja ZX-10R,nan,nan,2015.0,Sí,kawasaki,Deportivas,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,195000.0
MLM779802374,used,Puebla,Puebla,Usado,,,,4x4,Sí,5700.0,Toyota,4.0,5.7,Gasolina,25000.0,Tundra,Automática,5.7 Limited Doble V8 4x4 At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,538000.0
MLM795113527,used,Distrito Federal,Benito Juárez,Usado,,,,4x4,nan,2000.0,Audi,5.0,nan,Gasolina,49700.0,Q5,Automática,2.0 Luxury L4 T At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,375000.0
MLM777607752,used,Nuevo León,Monterrey,Usado,,,,Delantera,nan,1988.0,Mazda,4.0,nan,Gasolina,26049.0,Mazda 3,Automática,2.0 I Sedan At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,299900.0
MLM805524837,used,Puebla,San Andrés Cholula,Usado,,,,4x4,nan,3000.0,Mitsubishi,5.0,nan,Gasolina,67000.0,Montero,Automática,3.0 Sport V6/ At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,260000.0
MLM774367926,used,Distrito Federal,Miguel Hidalgo,Usado,4800.0,4.0,400.0,Trasera,Sí,2997.0,Infiniti,4.0,3.0,Gasolina,5000.0,Q50,Automática,3.0 400 Sport At,2018.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,529000.0
MLM801440856,used,Distrito Federal,Azcapotzalco,Usado,,,,4x2,nan,2488.0,Mazda,5.0,nan,Gasolina,25000.0,CX-5,Automática,2.5 S Grand Touring 4x2 At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,355900.0
MLM800855381,used,Jalisco,Guadalajara,Usado,4384.0,4.0,121.0,Delantera,Sí,1591.0,Kia,4.0,1.6,Gasolina,27990.0,Rio,Automática,1.6 L Sedan At,2020.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,183990.0
MLM800070643,used,Estado De México,Toluca,Usado,,,,nan,No,,Mazda,4.0,nan,Gasolina,59522.0,Mazda 3,Manual,i touring,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,228900.0
MLM808677776,used,Querétaro,Querétaro,Usado,,4.0,,Delantera,Sí,2400.0,Honda,4.0,2.4,Gasolina,150000.0,Accord,Manual,2.4 Ex Sedan L4 Piel Abs Cd Mt,2010.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,125000.0
MLM772932058,not_specified,Nuevo León,García,,,,,nan,nan,,ATRO,nan,nan,nan,,nan,nan,nan,2019.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,399000.0
MLM770129500,used,Nuevo León,Monterrey,Usado,,,,Delantera,nan,1600.0,Chevrolet,4.0,nan,Gasolina,98000.0,Aveo,Manual,1.6 Ls L4 Man Mt,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,98000.0
MLM813409134,used,Jalisco,San Juan De Los Lagos,Usado,,,,nan,nan,,Caterpillar,nan,nan,nan,,430D,nan,nan,2001.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,637100.0
MLM813410726,used,Jalisco,San Juan De Los Lagos,Usado,,,,nan,nan,,Ingersoll Rand,nan,nan,nan,,DD-12,nan,nan,2000.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,213411.79699389
MLM809438925,used,Coahuila,Nava,Usado,5890.0,4.0,,4x4,Sí,3500.0,Ford,4.0,3.5,Gasolina,87000.0,Lobo,Manual,3.5 Lariat Cabina Doble 4x4 Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,450000.0
MLM796053674,used,Distrito Federal,Alvaro Obregón,Usado,,5.0,403.0,4x4,Sí,6200.0,GMC,5.0,6.2,Gasolina,93363.0,Yukon,Automática,6.2 C Denali 403 Hp 4x4 At,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,219000.0
MLM771643089,used,Veracruz,Boca Del Río,Usado,,,,nan,nan,,Mercedes-Benz,4.0,nan,Gasolina,212.0,Clase E,Automática,4p E 43 AMG V6/3.0/T Aut,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,1050000.0
MLM806732400,used,Distrito Federal,Azcapotzalco,Usado,,,,nan,nan,1800.0,Harley-Davidson,nan,nan,Gasolina,18000.0,Fat Boy,nan,nan,2017.0,nan,nan,Chopper,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,249900.0
MLM790568408,used,Nuevo León,Guadalupe,Usado,,,,nan,nan,,Isuzu,nan,nan,nan,128500.0,ELF 400,Manual,nan,2007.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,238500.0
MLM803276907,used,Distrito Federal,Miguel Hidalgo,Usado,,,,Delantera,nan,1390.0,Volkswagen,5.0,nan,Gasolina,29000.0,Golf,Automática,1.4 Fest Dsg At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,258000.0
MLM802140516,used,Jalisco,Guadalajara,Usado,,,,Delantera,nan,1595.0,Mercedes-Benz,4.0,nan,Gasolina,60000.0,Clase CLA,Automática,1.6 200 Cgi Sport At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,369000.0
MLM767495924,used,Estado De México,Tlalnepantla de Baz,Usado,4397.0,4.0,115.0,Delantera,Sí,1600.0,Chevrolet,4.0,1.6,Gasolina,52000.0,Sonic,Automática,1.6 Lt At 4 p,2016.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,149000.0
