,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM784925699,used,Nuevo León,Monterrey,Usado,,,,Delantera,nan,1800.0,Chevrolet,4.0,nan,Gasolina,115000.0,Astra,Automática,1.8 4p Confort At,2006.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,58000.0
MLM807925280,used,Aguascalientes,Aguascalientes,Usado,4652.0,5.0,170.0,Delantera,Sí,2480.0,Volkswagen,4.0,2.5,Gasolina,54000.0,Jetta,Manual,2.5 Sportline Mt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,215000.0
MLM806917606,used,Jalisco,Arandas,Usado,,,,4x4,nan,4000.0,Toyota,4.0,nan,Gasolina,85000.0,Tacoma,Automática,4.0 Tdr Sport V6 At,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,345000.0
MLM804634362,used,Querétaro,Querétaro,Usado,,,,nan,nan,,Dodge,2.0,nan,Gasolina,100000.0,Ram 1500,nan,ST V6,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,185000.0
MLM786614473,used,Estado De México,Nezahualcoyotl,Usado,,,,4x4,nan,3500.0,Ford,5.0,nan,Gasolina,102000.0,Edge,Manual,3.5 Se Mt,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,160000.0
MLM812844257,used,Distrito Federal,Coyoacán,Usado,,,,Delantera,Sí,,Peugeot,5.0,nan,Gasolina,9942.0,3008,Automática,1.6 Gt Line Thp At,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,524900.0
MLM810578469,used,Distrito Federal,Coyoacán,Usado,,,,4x4,Sí,,Toyota,5.0,nan,Gasolina,78348.0,RAV4,Automática,2.5 Limited Platinum Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,269900.0
MLM809429345,used,Distrito Federal,Benito Juárez,Usado,,,,Delantera,nan,,Audi,4.0,nan,Gasolina,77080.0,A5,Automática,2p RS5 V8/4.2/T Aut,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,450000.0
MLM807759774,used,Tabasco,Centro,Usado,,,,Delantera,Sí,,Volkswagen,5.0,1.8,Gasolina,45000.0,Pointer,Manual,Trendline,2008.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,95000.49
MLM806984165,used,Distrito Federal,Tlalpan,Usado,4682.0,5.0,,4x4,Sí,2500.0,Mazda,5.0,2.5,Gasolina,89500.0,CX-7,Manual,2.5 I Sport Mt,2011.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,127900.0
MLM805793923,used,Estado De México,Huixquilucan,Usado,,,,nan,No,,FORD MUSTANG,2.0,351 ORIGINAL,Gasolina,60000.0,MUSTANG 1973 MACH ONE,Manual,MACH ONE SPRINT FAST BACK,1973.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,520000.0
MLM804374514,used,Distrito Federal,Miguel Hidalgo,Usado,,,,Delantera,nan,1991.0,Mercedes-Benz,5.0,nan,Gasolina,350.0,Clase GLB,Automática,2.0 250 Progressive 4matic,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,840000.0
MLM802031359,used,Puebla,Puebla,Usado,,,,Delantera,nan,3000.0,Mercedes-Benz,4.0,nan,Gasolina,123000.0,Clase C,Automática,3.0 280 Sport At,2008.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,190000.0
MLM799366740,used,Estado De México,Tezoyuca,Usado,,,450.0,6x4,nan,,International,nan,nan,nan,777589.0,ProStar EAGLE,Manual,nan,2011.0,No,CUMMINS ISX,nan,nan,40000.0,,nan,nan,,nan,,nan,nan,nan,nan,nan,569000.0
MLM798807823,used,Distrito Federal,Benito Juárez,Usado,,,,Delantera,Sí,,Volkswagen,5.0,nan,Gasolina,60919.0,Gol,Manual,1.6 Trendline I-motion 5 p,2018.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,168000.0
MLM798759161,used,Jalisco,Tlaquepaque,Usado,,,,nan,nan,1745.0,Harley-Davidson,nan,nan,Gasolina,26500.0,Ultra Limited 107,nan,nan,2017.0,nan,nan,Touring,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,359900.0
MLM796971738,used,Distrito Federal,Coyoacán,Usado,,,,Delantera,nan,1500.0,Chevrolet,4.0,nan,Gasolina,7423.0,Cavalier,Automática,1.5 Lt At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,202900.0
MLM789069625,used,Estado De México,Tlalnepantla de Baz,Usado,,,,Delantera,nan,1193.0,Mitsubishi,5.0,nan,Gasolina,45000.0,Mirage,Automática,1.2 Glx Cvt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,119900.0
MLM797723525,used,Distrito Federal,Miguel Hidalgo,Usado,,,,Trasera,nan,,Mercedes-Benz,4.0,nan,Gasolina,70000.0,Clase CLS 350,Automática,350 v6,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,295000.0
MLM775380369,new,Tamaulipas,Tampico,Nuevo,,,,Delantera,Sí,,Chevrolet,2.0,nan,Gasolina,0.0,Tornado,Manual,1.8 Lt Mt,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,297900.0
MLM806249778,not_specified,Nuevo León,Juárez,,516.0,,,nan,nan,,STRUK,nan,nan,nan,,2020 TQ202042,nan,nan,2020.0,Sí,nan,nan,nan,38000.0,,nan,nan,,nan,,nan,nan,nan,nan,nan,635000.0
MLM774435171,used,Yucatán,Mérida,Usado,,,,4x4,nan,,Porsche,2.0,nan,Gasolina,15680.0,911,Automática,2p Turbo Coupé S H6/3.8/T AWD PDK,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,3199000.0
MLM800883422,used,Jalisco,Zapopan,Usado,,,,nan,Sí,,Ford,2.0,nan,Gasolina,85000.0,F-150,Automática,XL Reg Cab 4x4 TA,2013.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,220000.0
MLM782537763,used,Estado De México,Huixquilucan,Usado,,,,Trasera,nan,,Chevrolet,5.0,nan,Gasolina,15200.0,Express,Automática,6.0 Ls C 15 Pas At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,448000.0
MLM778271168,used,Nuevo León,Monterrey,Usado,,,,Delantera,nan,,BMW,5.0,nan,Gasolina,91000.0,X1,Automática,2.5 XDRIVE iA TOP,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,169000.0
MLM811893594,used,Distrito Federal,Gustavo A. Madero,Usado,,,,Delantera,nan,,Chevrolet,4.0,nan,Gasolina,41700.0,Sonic,Automática,1.6 Lt At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,149900.0
MLM791279918,used,Estado De México,Huixquilucan,Usado,,,,4x4,nan,,Acura,5.0,nan,Gasolina,67300.0,RDX,Automática,5p V6/3.5 Aut AWD,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,279000.0
MLM796474121,used,Nuevo León,San Pedro Garza García,Usado,,,,Delantera,nan,1600.0,Volkswagen,4.0,nan,Gasolina,19000.0,Vento,Manual,1.6 Highline Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,209000.0
MLM796469258,used,Nuevo León,San Pedro Garza García,Usado,,,,Delantera,nan,1598.0,Volkswagen,4.0,nan,Gasolina,41000.0,Gol,Manual,1.6 Trendline Mt 4 p,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,159000.0
MLM796470246,used,Nuevo León,San Pedro Garza García,Usado,,,,4x4,nan,3498.0,Infiniti,5.0,nan,Gasolina,63000.0,QX60,Automática,3.5 Perfection Plus Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,495000.0
MLM796470279,used,Nuevo León,San Pedro Garza García,Usado,,,,Delantera,nan,1999.0,Kia,4.0,nan,Gasolina,6500.0,Forte,Manual,2.0 Ex Mt,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,269000.0
MLM807938044,used,Distrito Federal,Benito Juárez,Usado,,,,4x4,nan,3600.0,Dodge,5.0,nan,Gasolina,70000.0,Journey,Manual,3.6 R-t Nav Dvd Mt,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,185500.0
MLM806923181,used,Distrito Federal,Tlalpan,Usado,,,,nan,nan,125.0,Yamaha,nan,nan,nan,80000.0,ybr 125 cc,nan,nan,2014.0,nan,nan,Yamaha ybr 125cc,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,17500.0
MLM802173096,used,Estado De México,Tlalnepantla de Baz,Usado,,,,4x4,nan,5400.0,Ford,2.0,nan,Gasolina,75865.0,Lobo,Manual,5.4 Sport Fx4 Cabina Regular 4x4 Mt,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189500.0
MLM800383614,used,Distrito Federal,Gustavo A. Madero,Usado,,,,Delantera,nan,1798.0,Volkswagen,3.0,nan,Gasolina,29000.0,Polo GTI,Automática,1.8 Tsi At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,277800.0
MLM767459966,used,Querétaro,El Marqués,Usado,,,,nan,nan,,Freightliner,nan,nan,nan,5089.0,M2,Manual,nan,2004.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,290000.0
MLM807522565,used,Querétaro,Querétaro,Usado,,,,4x2,nan,4951.0,Ford,2.0,nan,Gasolina,72000.0,Lobo,Automática,5.0l Cabina Regular Xlt V8 4x2 At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,385000.0
MLM807389413,used,Estado De México,Tlalnepantla de Baz,Usado,,,,4x2,nan,5400.0,Ford,5.0,nan,Gasolina,111000.0,Expedition,Manual,5.4 Eddie Bauer Max Qc 4x2 Mt,2007.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,142900.0
MLM806931978,used,Nuevo León,Monterrey,Usado,,,,Trasera,nan,,BMW,4.0,nan,Gasolina,61100.0,Serie 3,Manual,4p 328i Sedan Sport Line L4/2.0 Man,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,328000.0
MLM803066008,used,Querétaro,Querétaro,Usado,,,,nan,nan,,Nissan,5.0,nan,Gasolina,51084.0,X-Trail,nan,SENSE 7 PASAJEROS,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,250000.0
MLM797218574,used,Yucatán,Mérida,Usado,,,,Delantera,nan,1800.0,Toyota,4.0,nan,Gasolina,65000.0,Corolla,Automática,1.8 Base Man At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,159000.0
MLM798168553,used,Jalisco,Guadalajara,Usado,,,,nan,nan,1600.0,BMW,nan,nan,Gasolina,63000.0,K 1600 GTL,nan,nan,2013.0,nan,nan,Crucero,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,225000.0
MLM805742731,used,Guanajuato,Irapuato,Usado,,,,Delantera,nan,1598.0,Nissan,5.0,nan,Gasolina,53000.0,Kicks,Automática,1.6 Advance Cvt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,249000.0
MLM759010492,not_specified,Jalisco,Guadalajara,,,,,nan,nan,,DOOSAN,nan,nan,Diésel,,D30NXP,Automática,nan,2020.0,Sí,Yanmar,nan,nan,3000.0,,Montacarga,nan,,nan,,nan,nan,nan,nan,nan,592810.54720525
MLM784390776,used,Querétaro,Querétaro,Usado,,,,Delantera,nan,1798.0,Nissan,4.0,nan,Gasolina,21000.0,Tiida,Manual,1.8 Advance Sedan Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,155000.0
MLM793235052,used,Distrito Federal,Miguel Hidalgo,Usado,,,,Delantera,nan,,Volkswagen,5.0,nan,Gasolina,25293.0,Tiguan,Automática,5p Confortline L4/1.4/T Aut 7 Pas,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,399500.0
MLM815318597,used,Puebla,Puebla,Usado,,5.0,,4x4,Sí,4000.0,Nissan,5.0,4.0,Gasolina,120700.0,Pathfinder,Automática,Exclusive V6 Awd At,2013.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,199000.0
MLM785465641,used,Estado De México,Tlalnepantla de Baz,Usado,4338.0,4.0,103.0,Delantera,Sí,1598.0,Chevrolet,4.0,1.6,Gasolina,48236.0,Aveo,Manual,1.6 Ls Mt,2016.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,109900.0
MLM808035694,used,Jalisco,Guadalajara,Usado,,,,nan,nan,500.0,Honda,nan,nan,nan,30000.0,Silver wing,nan,nan,1981.0,nan,nan,Turismo,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,45000.0
MLM802736992,used,Estado De México,Cuautitlán Izcalli,Usado,3954.0,3.0,125.0,Delantera,Sí,1400.0,Audi,3.0,1.4,Gasolina,77000.0,A1,Automática,1.4 S- Line S-tronic Dsg,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,195000.0
MLM812401595,used,Distrito Federal,Tlalpan,Usado,,,,nan,nan,,Chevrolet,5.0,nan,Gasolina,85000.0,Express,Automática,CARGO VAN,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,149900.0
MLM807485949,used,Distrito Federal,Benito Juárez,Usado,,,,Delantera,nan,1600.0,Chevrolet,5.0,nan,Gasolina,33000.0,Sonic,Automática,1.6 Ltz At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,130000.0
MLM806910039,used,Distrito Federal,Tlalpan,Usado,5220.0,,261.0,4x2,Sí,3954.0,Nissan,2.0,4.0,Gasolina,23000.0,Frontier,Automática,4.0 Pro-4x V6 4x2 At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,369900.0
MLM806665599,used,Distrito Federal,Alvaro Obregón,Usado,4784.0,2.0,650.0,Trasera,Sí,6162.0,Chevrolet,2.0,6.2,Gasolina,8300.0,Camaro,Automática,6.2 Zl1 At,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,890000.0
MLM794341867,used,Distrito Federal,Gustavo A. Madero,Usado,,,,4x4,nan,2000.0,Mercedes-Benz,5.0,nan,Gasolina,49000.0,Clase GLA,Automática,2.0 45 Amg Edition 1 At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,529000.0
MLM805069701,used,Distrito Federal,Tlalpan,Usado,4597.0,4.0,,Delantera,Sí,1800.0,Chevrolet,4.0,1.8,Gasolina,42000.0,Cruze,Automática,1.8 Ls At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,128500.0
MLM778050522,used,Estado De México,Metepec,Usado,,,,4x2,nan,3600.0,Jeep,5.0,nan,Gasolina,60000.0,Grand Cherokee,Automática,3.6 Limited V6 Nav 4x2 At,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,390000.0
MLM797142852,used,Estado De México,Tlalnepantla de Baz,Usado,4470.0,5.0,,4x4,Sí,2700.0,Suzuki,5.0,2.7,Gasolina,95000.0,Grand Vitara,Manual,2.7 V6 Gls Mt,2008.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,115000.0
MLM802985861,used,Distrito Federal,Coyoacán,Usado,,,,Delantera,nan,1206.0,Chevrolet,4.0,nan,Gasolina,43811.0,Beat,Manual,1.3 Nb Lt Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,133000.0
MLM810057692,used,Jalisco,Guadalajara,Usado,4575.0,5.0,,4x4,Sí,2400.0,Honda,5.0,2.4,Gasolina,59000.0,CR-V,Manual,2.4 Ex Mt,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,175900.0
MLM794920698,used,Guanajuato,León,Usado,,,,nan,Sí,,Volkswagen,5.0,nan,Gasolina,19976.0,Tiguan,Automática,COMFORTLINE TSI 1.4L DSG L4  150 HP,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,409000.0
MLM808263149,used,Puebla,Puebla,Usado,,,,Trasera,nan,3000.0,BMW,2.0,nan,Gasolina,140700.0,Serie 1,Automática,3.0 Coupe 125ia At,2009.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,165000.0
MLM796554815,used,Jalisco,Guadalajara,Usado,,,,nan,nan,1200.0,BMW,nan,nan,nan,30000.0,"GS 1,200",nan,nan,2013.0,nan,nan,BMW,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189000.0
MLM786745132,used,Querétaro,Querétaro,Usado,,,,4x4,nan,3500.0,Honda,5.0,nan,Gasolina,220000.0,Pilot,Automática,Exl Aa Ee Piel 4x4 At,2010.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,185000.0
MLM783267151,used,Puebla,Puebla,Usado,,,,4x2,nan,5654.0,RAM,2.0,nan,Gasolina,13000.0,4000,Manual,5.7 Chasis Cabina Pl 4x2 Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,475000.0
MLM777904799,new,Distrito Federal,Xochimilco,Nuevo,,,,nan,nan,180.0,Benelli,nan,nan,Gasolina,0.0,TNT 180,nan,nan,2020.0,nan,nan,Naked,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,56070.0
MLM811382535,used,Estado De México,Metepec,Usado,4624.0,2.0,,Trasera,Sí,3000.0,BMW,2.0,3.0,Gasolina,99250.0,Serie 3,Automática,3.0 335ia M Sport At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,290000.0
MLM808058385,used,Estado De México,Ecatepec de Morelos,Usado,,,,4x4,nan,5400.0,Ford,5.0,nan,Gasolina,120000.0,Expedition,Automática,5.4 Eddie Bauer Piel 4x4 At,1999.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,53000.0
MLM807923135,used,Estado De México,Tlalnepantla de Baz,Usado,,,,Delantera,nan,,Chevrolet,4.0,1.6,Gasolina,75000.0,Aveo,Manual,LS STD 5 VEL AC,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,89800.0
MLM804587393,used,Nuevo León,Monterrey,Usado,,,,nan,nan,,Jeep,5.0,nan,Gasolina,84710.0,Grand Cherokee,Automática,SRT-8,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,545000.0
MLM801394855,used,Estado De México,Tultitlán,Usado,,,,Delantera,Sí,2000.0,Mazda,4.0,2.0,Gasolina,57500.0,Mazda 3,Manual,2.0 Sedan I L4 Man Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189900.0
MLM798456667,used,Aguascalientes,Aguascalientes,Usado,4540.0,5.0,,Delantera,Sí,1800.0,Toyota,4.0,1.8,Gasolina,92000.0,Corolla,Automática,1.8 Xle At,2012.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,132000.0
MLM812764961,used,Distrito Federal,Tlalpan,Usado,4630.0,4.0,174.0,Delantera,Sí,1496.0,Honda,4.0,1.5,Gasolina,47000.0,Civic,Automática,1.5 Turbo Plus At Cvt,2016.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,269000.0
MLM806213291,used,Jalisco,Tlaquepaque,Usado,,,,nan,nan,,Suzuki,5.0,nan,Gasolina,41000.0,Grand Vitara,Automática,GLX,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,239700.0
MLM790078882,used,Puebla,San Andrés Cholula,Usado,,,,Trasera,nan,1495.0,Toyota,4.0,nan,Gasolina,6000.0,Avanza,Automática,1.5 Le At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,198000.0
MLM784751761,used,Jalisco,Tepatitlán de Morelos,Usado,,,,Trasera,nan,6200.0,Chevrolet,2.0,nan,Gasolina,97000.0,Camaro,Automática,Ss V8 At,2010.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,270000.0
MLM796373973,used,Distrito Federal,Miguel Hidalgo,Usado,5151.0,5.0,,Delantera,Sí,3600.0,Chrysler,5.0,3.6,Gasolina,70000.0,Town & Country,Manual,3.6 Li Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,185000.0
MLM806653157,used,Distrito Federal,Coyoacán,Usado,,,,Trasera,nan,1495.0,Toyota,4.0,nan,Gasolina,59000.0,Avanza,Manual,1.5 Le Mt,2017.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,167500.0
MLM796151657,used,Morelos,Cuernavaca,Usado,,,,Delantera,nan,1598.0,Nissan,4.0,nan,Gasolina,73000.0,Versa,Manual,1.6 Sense Mt,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,119000.0
MLM797825122,used,Jalisco,Guadalajara,Usado,,,,nan,nan,250.0,VELOCI,nan,nan,Gasolina,10000.0,XEVERUS PRO,nan,nan,2018.0,nan,nan,Doble propósito,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,64999.0
MLM802703379,used,Estado De México,Tlalnepantla de Baz,Usado,,,,nan,nan,,Chevrolet,5.0,nan,Gasolina,79000.0,Express Van,nan,LS 8 pasajeros,2001.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,195000.0
MLM797559939,used,Nuevo León,Monterrey,Usado,4365.0,5.0,,Delantera,Sí,1600.0,Peugeot,5.0,1.6,Gasolina,58230.0,3008,Manual,1.6 Féline Mt,2015.0,No,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,240000.0
MLM792938284,used,Estado De México,Tlalnepantla de Baz,Usado,,,,Delantera,nan,,Ford,5.0,nan,Gasolina,78848.0,Focus,Automática,2.0 Se Plus At,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,149000.0
MLM777800379,used,Distrito Federal,Azcapotzalco,Usado,,,,Delantera,Sí,,Volkswagen,5.0,nan,Gasolina,12714.0,Tiguan,Automática,5 pts. Trendline Plus,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,335000.0
MLM754150019,used,Nuevo León,Santiago,Usado,,,,nan,nan,,Ford,2.0,nan,Gasolina,100000.0,T,Manual,HOT ROD,1932.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,499000.0
MLM786977144,used,Nuevo León,Monterrey,,,,,nan,nan,,Don Toro,nan,nan,nan,,AVISPADO VIP,nan,nan,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,52500.0
MLM792121774,not_specified,Estado De México,Tecámac,,,,,nan,nan,,Nissan,nan,nan,nan,,2015,Automática,nan,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,355000.0
MLM760273171,not_specified,Chihuahua,Chihuahua,,,,109.0,nan,Sí,,John Deere,nan,nan,nan,,160C,nan,nan,2001.0,nan,nan,nan,nan,,13300.0,nan,nan,,nan,16157.0,nan,nan,nan,nan,nan,776042.8981596
MLM808101251,used,Jalisco,Guadalajara,Usado,3954.0,5.0,125.0,Delantera,Sí,1400.0,Audi,5.0,1.4,Gasolina,90000.0,A1,Automática,1.4 Sportback Cool S-tronic Dsg,2011.0,nan,nan,nan,4.0,,,nan,nan,,nan,,nan,nan,nan,nan,nan,155000.0
MLM799906001,used,Distrito Federal,Alvaro Obregón,Usado,,,,4x4,nan,6200.0,Cadillac,5.0,nan,Gasolina,43000.0,Escalade ESV,Automática,6.2 Premium Esv At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,699000.0
MLM776458608,used,Estado De México,Huixquilucan,Usado,,,,Delantera,nan,,SEAT,5.0,nan,Gasolina,39800.0,Toledo,Automática,1.4 Advance Dsg,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,183900.0
MLM793116620,used,Estado De México,Naucalpan,Usado,,5.0,,4x4,Sí,2000.0,Audi,5.0,2.0,Gasolina,80000.0,Q5,Automática,2.0 Elite S Tronic Quattro Dsg,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,289500.0
MLM813394537,used,Distrito Federal,Alvaro Obregón,Usado,4347.0,,,Trasera,Sí,3400.0,Porsche,2.0,3.4,Gasolina,13000.0,Cayman,Automática,3.4 R Pdk At,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,795000.0
MLM807757680,used,Distrito Federal,Gustavo A. Madero,Usado,,,,nan,nan,,SEAT,5.0,nan,Gasolina,76069.0,Ibiza,nan,STYLE MANUAL,2014.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,129900.0
MLM806286422,used,Hidalgo,Pachuca De Soto,Usado,,,,Delantera,nan,1800.0,Audi,5.0,nan,Gasolina,78000.0,A3,Manual,1.8 S-line Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,325000.0
MLM786646832,used,Jalisco,Tepatitlán de Morelos,Usado,,,,Delantera,nan,,Mini,3.0,nan,Gasolina,42700.0,Cooper S,Automática,S TURBO,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189000.0
MLM791911763,used,Nuevo León,Monterrey,Usado,,,,Delantera,nan,,Buick,5.0,3.6,Gasolina,63000.0,Enclave,Automática,CXL,2011.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,179000.0
MLM766206678,used,Distrito Federal,Gustavo A. Madero,Usado,4555.0,5.0,153.0,Delantera,Sí,1998.0,Mazda,5.0,2.0,Gasolina,95000.0,CX-5,Automática,2.0 L I Grand Touring At,2016.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,245000.0
