,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM813818618,used,Querétaro,El Marqués,310000.0,MXN,Usado,4586 mm,5,184 hp,Delantera,Sí,2356 cc,Honda,5,2.4,Gasolina,7600 km,CR-V,Automática,2.4 Ex Cvt,2019,,,,,,,,,,,,,,,,
MLM813611345,used,Estado De México,Tlalnepantla de Baz,189800.0,MXN,Usado,4061 mm,5,110 hp,Delantera,Sí,1598 cc,SEAT,5,1.6,Gasolina,31000 km,Ibiza,Manual,1.6 Style 5p Mt,2018,,,,,,,,,,,,,,,,
MLM812805174,used,Distrito Federal,Cuauhtémoc,375000.0,MXN,Usado,,,,Trasera,Sí,,Jeep,5,,Gasolina,65887 km,Grand Cherokee,Automática,3.6 Limited V6 Nav 4x2 At,2015,,,,,,,,,,,,,,,,
MLM812335597,used,Yucatán,Mérida,299000.0,MXN,Usado,3874 mm,5,231 hp,Delantera,Sí,1998 cc,Mini,5,2.0,Gasolina,48000 km,John Cooper Works,Automática,2.0 Hot Chilli At,2016,,,,,,,,,,,,,,,,
MLM812259821,used,Jalisco,Guadalajara,539000.0,MXN,Usado,,,,,,,Cadillac,4,,Gasolina,8000 km,XT4,,luxury,2019,,,,,,,,,,,,,,,,
MLM812814463,used,Jalisco,Tepatitlán de Morelos,289000.0,MXN,Usado,5258 mm,,158 hp,Trasera,Sí,2489 cc,Nissan,2,2.5,Gasolina,50000 km,NP300 Frontier,Manual,2.5 Le Aa Mt,2016,,,,,,,,,,,,,,,,
MLM811539674,used,Distrito Federal,Alvaro Obregón,280000.0,MXN,Usado,4652 mm,5,170 hp,Delantera,Sí,2480 cc,Volkswagen,4,2.5,Gasolina,24608 km,Jetta,Automática,2.5 Sportline Tiptronic At,2018,,,,,,,,,,,,,,,,
MLM810846542,used,Hidalgo,Tizayuca,660000.0,MXN,Usado,,,260 hp,6x4,,,Freightliner,,,,500000 km,M2 35K,Manual,,2011,,Mercedes Benz,,,18145 kg,,,,,,,,,,,
MLM810685920,used,Estado De México,Tultitlán,98900.0,MXN,Usado,4347 mm,5,100 hp,Delantera,Sí,1598 cc,Renault,4,1.6,Gasolina,100000 km,Logan,Manual,1.6 Expression Mt,2017,,,,,,,,,,,,,,,,
MLM810624851,used,Puebla,Puebla,348000.0,MXN,Usado,4432 mm,2,184 hp,Trasera,Sí,1997 cc,BMW,2,2.0,Gasolina,74000 km,Serie 2,Automática,2.0 220ia Sport Line At,2017,Sí,,,,,,,,,,,,,,,
MLM810590381,used,Distrito Federal,Gustavo A. Madero,345800.0,MXN,Usado,4292 mm,5,156 hp,Delantera,Sí,1595 cc,Mercedes-Benz,5,1.6,Gasolina,30000 km,Clase A,Manual,1.6 200 Cgi Style Mt,2018,,,,,,,,,,,,,,,,
MLM809094481,used,Estado De México,Atizapán De Zaragoza,118500.0,MXN,Usado,,4,,Delantera,Sí,1.4 L,Chevrolet,4,1.4,Gasolina,65000 km,Cruze,Automática,1.4 F Lt Aa Cd Mp3 R-17 Piel Qc At,2012,,,,,,,,,,,,,,,,
MLM809030396,used,Distrito Federal,Gustavo A. Madero,139900.0,MXN,Usado,4290 mm,4,115 hp,Delantera,Sí,1598 cc,Dodge,4,1.6,Gasolina,15000 km,Vision,Manual,1.6 Mt,2017,,,,,,,,,,,,,,,,
